"species_code","scientific_name","common_name","is_resident","breeding_quality","breeding_start","breeding_end","nonbreeding_quality","nonbreeding_start","nonbreeding_end","postbreeding_migration_quality","postbreeding_migration_start","postbreeding_migration_end","prebreeding_migration_quality","prebreeding_migration_start","prebreeding_migration_end","resident_quality","resident_start","resident_end","has_trends","trends_season","trends_region","trends_start_year","trends_end_year","trends_start_date","trends_end_date","rsquared","beta0"
"cerwar","Setophaga cerulea","Cerulean Warbler",FALSE,"3",2022-05-24,2022-07-12,"3",2022-11-01,2022-03-08,"3",2022-07-19,2022-10-25,"3",2022-03-15,2022-05-17,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-24","07-12",0.749947590021726,1.32025670042774
"cetwar1","Cettia cetti","Cetti's Warbler",FALSE,"1",2022-04-12,2022-06-21,"2",2022-08-16,2022-04-05,"0",NA,NA,"0",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"chbchi","Poecile rufescens","Chestnut-backed Chickadee",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"02-01","06-21",0.795028125994793,-0.499889164959152
"chbcuc2","Scythrops novaehollandiae","Channel-billed Cuckoo",FALSE,"3",2022-12-06,2022-02-08,"2",2022-05-03,2022-08-23,"1",2022-03-29,2022-04-26,"2",2022-08-30,2022-11-29,NA,NA,NA,TRUE,"breeding","aus_nz",2013,2021,"12-06","02-15",0.770172523490987,-0.173828984011486
"chcant2","Grallaria ruficapilla","Chestnut-crowned Antpitta",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","south_america",2015,2022,"01-04","05-17",0.638328061251136,0.327726946855528
"chclon","Calcarius ornatus","Chestnut-collared Longspur",FALSE,"3",2022-05-17,2022-08-16,"3",2022-12-20,2022-01-25,"3",2022-08-23,2022-12-13,"3",2022-02-01,2022-05-10,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"chhoro1","Psarocolius wagleri","Chestnut-headed Oropendola",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"09-27","02-08",0.696331370738187,0.444053449678711
"chicar1","Daptrius chimango","Chimango Caracara",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","south_america",2015,2022,"03-15","10-11",0.755007406976247,0.136299193486639
"chifla1","Phoenicopterus chilensis","Chilean Flamingo",FALSE,"3",2022-11-08,2022-03-15,"2",2022-07-19,2022-07-26,"2",2022-04-26,2022-06-07,"3",2022-08-23,2022-11-01,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"chifli1","Colaptes pitius","Chilean Flicker",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-10-04,2022-02-15,TRUE,"resident","south_america",2014,2021,"11-08","04-12",0.708146250199266,0.447491951167119
"chipig2","Patagioenas araucana","Chilean Pigeon",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"chirav","Corvus cryptoleucus","Chihuahuan Raven",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"02-01","04-26",0.692776546778376,0.717216906783446
"chispa","Spizella passerina","Chipping Sparrow",FALSE,"3",2022-06-14,2022-07-05,"3",2022-12-06,2022-02-22,"3",2022-07-12,2022-11-29,"3",2022-03-01,2022-06-07,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-14","07-05",0.905984566129073,0.0808411661932506
"chiswa1","Tachycineta leucopyga","Chilean Swallow",FALSE,"3",2022-10-25,2022-02-15,"3",2022-06-07,2022-08-09,"3",2022-02-22,2022-05-31,"3",2022-08-16,2022-10-18,NA,NA,NA,TRUE,"breeding","south_america",2014,2021,"10-25","02-15",0.736512250480408,0.217486599089362
"chiswi","Chaetura pelagica","Chimney Swift",FALSE,"3",2022-05-31,2022-07-12,"1",2022-12-27,2022-01-18,"3",2022-07-19,2022-11-29,"2",2022-02-22,2022-05-24,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-31","07-12",0.90104058727366,0.212201763637228
"chivir1","Vireo chivi","Chivi Vireo",FALSE,"3",2022-10-18,2022-04-12,"2",2022-06-14,2022-08-02,"3",2022-04-19,2022-06-07,"2",2022-08-09,2022-10-11,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"chiwig1","Mareca sibilatrix","Chiloe Wigeon",FALSE,"3",2022-09-27,2022-04-26,"3",2022-06-14,2022-08-09,"0",NA,NA,"0",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"chswar","Setophaga pensylvanica","Chestnut-sided Warbler",FALSE,"3",2022-06-14,2022-08-02,"3",2022-11-08,2022-03-15,"3",2022-08-09,2022-11-01,"3",2022-03-22,2022-06-07,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-14","08-02",0.875696984863111,0.0879903175659139
"chukar","Alectoris chukar","Chukar",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"01-04","12-27",0.798235371765685,0.888849122438584
"chwwid","Antrostomus carolinensis","Chuck-will's-widow",FALSE,"3",2022-05-31,2022-07-05,"0",NA,NA,"2",2022-07-12,2022-11-22,"2",2022-02-01,2022-05-24,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-31","07-05",0.673830693939413,0.0359085425188047
"cinhar1","Circus cinereus","Cinereous Harrier",FALSE,"2",2022-10-04,2022-01-25,"2",2022-02-01,2022-09-27,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","south_america",2014,2021,"10-04","02-01",0.528462595794824,1.36651490009487
"cinhum1","Amazilia rutila","Cinnamon Hummingbird",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"09-06","01-18",0.79953410695623,0.161062514830757
"cintea","Spatula cyanoptera","Cinnamon Teal",FALSE,"3",2022-05-24,2022-07-05,"3",2022-12-27,2022-01-25,"3",2022-07-12,2022-12-20,"3",2022-02-01,2022-05-17,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-24","07-05",0.831585410775303,0.405226860573907
"cinvul1","Aegypius monachus","Cinereous Vulture",FALSE,"2",2022-05-03,2022-05-17,"1",2022-02-22,2022-03-15,"1",2022-09-06,2022-12-13,"1",2022-03-22,2022-04-26,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"citwar1","Myiothlypis luteoviridis","Citrine Warbler",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"clagre","Aechmophorus clarkii","Clark's Grebe",FALSE,"3",2022-05-17,2022-06-28,"3",2022-12-27,2022-01-25,"3",2022-07-05,2022-12-20,"3",2022-02-01,2022-05-10,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"clanut","Nucifraga columbiana","Clark's Nutcracker",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"04-26","08-23",0.82284099461561,0.147677628899931
"clarai11","Rallus crepitans","Clapper Rail",FALSE,"3",2022-05-24,2022-09-13,"3",2022-12-06,2022-03-29,"3",2022-09-20,2022-11-29,"3",2022-04-05,2022-05-17,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-24","09-13",0.859902747495707,0.0339306663968309
"clcrob","Turdus grayi","Clay-colored Thrush",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"02-08","05-10",0.877492082228904,0.100314133500989
"clcspa","Spizella pallida","Clay-colored Sparrow",FALSE,"3",2022-06-07,2022-07-19,"3",2022-11-22,2022-03-01,"3",2022-07-26,2022-11-15,"3",2022-03-08,2022-05-31,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","07-19",0.878445191441538,0.0327633024825899
"cliswa","Petrochelidon pyrrhonota","Cliff Swallow",FALSE,"3",2022-06-07,2022-07-12,"3",2022-11-29,2022-01-11,"3",2022-07-19,2022-11-22,"3",2022-01-18,2022-05-31,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","07-12",0.854279657839695,0.414326662394431
"cobtan1","Chlorospingus flavopectus","Common Chlorospingus",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"11-08","03-29",0.713466466129584,1.72046989382292
"cockat","Nymphicus hollandicus","Cockatiel",FALSE,"2",2022-04-05,2022-01-11,"2",2022-01-18,2022-03-29,"0",NA,NA,"0",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"codfin1","Diuca diuca","Diuca Finch",FALSE,"2",2022-09-20,2022-11-22,"2",2022-05-03,2022-06-14,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","south_america",2015,2022,"09-20","11-22",0.702961796988939,0.465277438179426
"cogdov","Columbina passerina","Common Ground Dove",FALSE,"3",2022-05-10,2022-08-30,"3",2022-11-08,2022-04-05,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-10","08-30",0.827838020642628,0.565175490290964
"cohmar1","Delichon urbicum/lagopodum","Western/Siberian House-Martin",FALSE,"2",2022-06-07,2022-08-23,"2",2022-12-06,2022-01-04,"2",2022-08-30,2022-11-29,"2",2022-01-11,2022-05-31,NA,NA,NA,TRUE,"breeding","turkey_plus",2016,2022,"06-07","08-23",0.663091251923464,0.894759465656725
"colinc1","Coeligena torquata","Collared Inca",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"colspa1","Accipiter cirrocephalus","Collared Sparrowhawk",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"colwar","Leiothlypis crissalis","Colima Warbler",FALSE,"2",2022-06-21,2022-07-19,"0",NA,NA,"0",NA,NA,"1",2022-04-26,2022-05-10,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"comblh1","Buteogallus anthracinus","Common Black Hawk",FALSE,"3",2022-05-03,2022-05-31,"3",2022-11-08,2022-02-22,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-03","05-31",0.736111460564405,-0.235219790117217
"comcha","Fringilla coelebs","Common Chaffinch",FALSE,"2",2022-05-10,2022-08-09,"2",2022-12-06,2022-02-15,"2",2022-08-16,2022-11-29,"2",2022-02-22,2022-05-03,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"comchi1","Phylloscopus collybita","Common Chiffchaff",FALSE,"2",2022-06-14,2022-07-26,"2",2022-12-06,2022-02-08,"2",2022-08-02,2022-11-29,"2",2022-02-15,2022-06-07,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"comeid","Somateria mollissima","Common Eider",FALSE,"2",2022-06-07,2022-06-28,"3",2022-12-06,2022-02-22,"2",2022-10-04,2022-11-29,"2",2022-03-01,2022-05-03,NA,NA,NA,TRUE,"nonbreeding","north_america",2011,2021,"12-06","02-22",0.627951871864173,0.689217463046445
"comgal1","Gallinula galeata","Common Gallinule",FALSE,"3",2022-05-24,2022-07-05,"3",2022-11-15,2022-02-15,"3",2022-07-12,2022-11-08,"3",2022-02-22,2022-05-17,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-24","07-05",0.740957375121311,0.430114191788314
"comgol","Bucephala clangula","Common Goldeneye",FALSE,"2",2022-06-07,2022-08-09,"2",2022-01-04,2022-02-08,"2",2022-08-16,2022-12-27,"2",2022-02-15,2022-05-31,NA,NA,NA,TRUE,"nonbreeding","north_america",2012,2022,"01-04","02-08",0.810578747282734,0.15693370682518
"comgra","Quiscalus quiscula","Common Grackle",FALSE,"3",2022-05-24,2022-08-30,"3",2022-12-27,2022-02-08,"3",2022-09-06,2022-12-20,"3",2022-02-15,2022-05-17,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-24","08-30",0.862197279499405,0.097206571352043
"comkin1","Alcedo atthis","Common Kingfisher",FALSE,"2",2022-05-24,2022-07-12,"2",2022-09-27,2022-03-01,"2",2022-07-19,2022-09-20,"2",2022-03-08,2022-05-17,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"comloo","Gavia immer","Common Loon",FALSE,"3",2022-06-14,2022-08-02,"2",2022-12-27,2022-01-11,"3",2022-08-30,2022-12-20,"3",2022-03-08,2022-06-07,NA,NA,NA,TRUE,"nonbreeding","north_america",2011,2021,"12-27","01-11",0.808238505052119,1.09374551327153
"commer","Mergus merganser","Common Merganser",FALSE,"2",2022-06-07,2022-09-27,"2",2022-12-27,2022-02-08,"2",2022-10-04,2022-12-20,"2",2022-02-15,2022-05-31,NA,NA,NA,TRUE,"nonbreeding","north_america",2011,2021,"12-27","02-08",0.800282691231998,0.0221726651106561
"commyn","Acridotheres tristis","Common Myna",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","india_se_asia",2015,2022,"03-01","08-02",0.863360558748562,-0.11789215317441
"comnig","Chordeiles minor","Common Nighthawk",FALSE,"2",2022-06-28,2022-07-19,"1",2022-11-29,2022-03-01,"2",2022-07-26,2022-11-22,"2",2022-03-08,2022-06-21,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-28","07-19",0.778781275264759,0.404975643838633
"comnig1","Luscinia megarhynchos","Common Nightingale",FALSE,"2",2022-06-07,2022-08-02,"1",2022-11-29,2022-02-22,"2",2022-08-09,2022-11-22,"2",2022-03-01,2022-05-31,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"compau","Nyctidromus albicollis","Common Pauraque",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"01-18","05-10",0.709547520668324,0.869746756785817
"compea","Pavo cristatus","Indian Peafowl",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,TRUE,"resident","india_se_asia",2015,2022,"07-12","11-08",0.791080131789562,0.226338573565674
"compoo","Phalaenoptilus nuttallii","Common Poorwill",FALSE,"2",2022-06-07,2022-07-26,"2",2022-11-15,2022-03-08,"2",2022-09-06,2022-11-08,"2",2022-03-15,2022-05-31,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-07","07-26",0.719704535456349,0.905073476375883
"comrav","Corvus corax","Common Raven",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-11-08,2022-05-10,TRUE,"resident","north_america",2012,2022,"02-22","05-24",0.87843585379492,-0.247097688093368
"comred","Acanthis flammea","Common Redpoll",FALSE,"2",2022-06-14,2022-08-23,"2",2022-01-04,2022-02-08,"2",2022-08-30,2022-12-27,"2",2022-02-15,2022-06-07,NA,NA,NA,TRUE,"nonbreeding","north_america",2012,2022,"01-04","02-08",0.862378699763865,0.0541235228319214
"comred1","Tringa totanus","Common Redshank",FALSE,"2",2022-06-07,2022-06-14,"2",2022-12-06,2022-01-25,"2",2022-06-21,2022-11-29,"2",2022-02-08,2022-05-10,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"comsan","Actitis hypoleucos","Common Sandpiper",FALSE,"2",2022-06-07,2022-06-07,"2",2022-11-22,2022-03-01,"2",2022-06-14,2022-11-15,"2",2022-03-08,2022-05-31,NA,NA,NA,TRUE,"nonbreeding","india_se_asia",2014,2021,"11-22","03-01",0.783661580413743,0.416265669361183
"comtai1","Orthotomus sutorius","Common Tailorbird",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"comter","Sterna hirundo","Common Tern",FALSE,"2",2022-06-14,2022-07-26,"3",2022-12-13,2022-03-08,"3",2022-08-02,2022-12-06,"3",2022-03-15,2022-06-07,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"comyel","Geothlypis trichas","Common Yellowthroat",FALSE,"3",2022-05-31,2022-07-19,"3",2022-12-06,2022-02-15,"3",2022-07-26,2022-11-29,"3",2022-02-22,2022-05-24,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-31","07-19",0.882325850691663,-0.118945979612606
"conwar","Oporornis agilis","Connecticut Warbler",FALSE,"3",2022-06-21,2022-06-28,"0",NA,NA,"2",2022-08-16,2022-11-01,"2",2022-04-26,2022-06-14,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"coohaw","Accipiter cooperii","Cooper's Hawk",FALSE,"3",2022-05-31,2022-08-09,"3",2022-12-06,2022-03-08,"3",2022-08-16,2022-11-29,"3",2022-03-15,2022-05-24,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-31","08-09",0.927755689360336,0.164924268538802
"copbar1","Psilopogon haemacephalus","Coppersmith Barbet",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","india_se_asia",2015,2022,"01-11","05-10",0.857528560999262,0.449395249373282
"corbun1","Emberiza calandra","Corn Bunting",FALSE,"2",2022-05-10,2022-08-02,"2",2022-12-06,2022-03-08,"2",2022-08-09,2022-08-30,"2",2022-03-15,2022-05-03,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"corpip1","Anthus correndera","Correndera Pipit",FALSE,"2",2022-09-20,2022-04-12,"1",2022-04-26,2022-08-23,"0",NA,NA,"0",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"coshum","Calypte costae","Costa's Hummingbird",FALSE,"3",2022-02-08,2022-06-07,"3",2022-10-18,2022-01-11,"3",2022-06-14,2022-10-11,"3",2022-01-18,2022-02-01,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"02-08","06-07",0.861230380742917,0.365541157928179
"cosswa1","Coscoroba coscoroba","Coscoroba Swan",FALSE,"3",2022-11-08,2022-02-22,"3",2022-05-31,2022-08-02,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","south_america",2014,2021,"11-08","02-22",0.605184017990091,0.627249141861059
"coukin","Tyrannus couchii","Couch's Kingbird",FALSE,"3",2022-04-05,2022-10-04,"3",2022-11-22,2022-02-22,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"04-05","10-04",0.896755273740207,0.329294514981697
"cowpig1","Columba palumbus","Common Wood-Pigeon",FALSE,"2",2022-05-17,2022-08-02,"2",2022-11-29,2022-01-25,"2",2022-08-09,2022-11-22,"2",2022-02-01,2022-05-10,NA,NA,NA,TRUE,"breeding","iberia",2014,2022,"05-17","08-02",0.775529227781871,0.166513855257284
"cowscj1","Aphelocoma californica","California Scrub-Jay",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"12-06","02-15",0.927521170393755,-0.178821617176039
"crbtan1","Ramphocelus dimidiatus","Crimson-backed Tanager",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","south_america",2014,2021,"12-13","04-12",0.762406071406433,0.879700996562658
"cregos1","Accipiter trivirgatus","Crested Goshawk",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,TRUE,"resident","taiwan",2012,2022,"01-25","04-05",0.807118209473304,0.334885279330742
"cregua1","Penelope purpurascens","Crested Guan",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"01-25","03-15",0.752505113453173,0.913832592641304
"crehon2","Phylidonyris pyrrhopterus","Crescent Honeyeater",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"crelar1","Galerida cristata","Crested Lark",FALSE,"2",2022-05-24,2022-08-02,"2",2022-11-15,2022-04-05,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","iberia",2014,2022,"05-24","08-02",0.789694583413677,0.325502406836622
"creoro1","Psarocolius decumanus","Crested Oropendola",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","south_america",2014,2021,"11-01","03-22",0.719826033451689,0.518286249640242
"crepig1","Ocyphaps lophotes","Crested Pigeon",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"cresht1","Falcunculus frontatus","Eastern Shrike-tit",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"cretre1","Hemiprocne coronata","Crested Treeswift",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,TRUE,"resident","india_se_asia",2015,2022,"10-04","12-20",0.671220963653803,-0.472295210004989
"criros2","Platycercus elegans","Crimson Rosella",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","aus_nz",2014,2022,"07-19","10-18",0.778056640796645,-0.102248455113779
"crithr","Toxostoma crissale","Crissal Thrasher",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"09-06","12-20",0.827465628726461,-0.438100585610545
"cubthr","Toxostoma curvirostre","Curve-billed Thrasher",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2011,2021,"11-22","02-22",0.849705892108066,-0.00876519745230113
"daejun","Junco hyemalis","Dark-eyed Junco",FALSE,"3",2022-05-31,2022-08-30,"3",2022-12-20,2022-02-08,"3",2022-09-06,2022-12-13,"3",2022-02-15,2022-05-17,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-31","08-30",0.8184482325586,0.180213878636875
"darwar1","Curruca undata","Dartford Warbler",FALSE,"2",2022-03-08,2022-10-04,"2",2022-10-11,2022-03-01,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","iberia",2014,2022,"03-08","10-04",0.771893784251577,0.368114590106455
"daured1","Phoenicurus auroreus","Daurian Redstart",FALSE,"2",2022-05-17,2022-07-19,"2",2022-11-22,2022-03-08,"2",2022-07-26,2022-11-15,"2",2022-03-15,2022-05-10,NA,NA,NA,TRUE,"nonbreeding","japan",2015,2021,"11-22","03-08",0.76717450707185,1.58757951158249
"diafir1","Stagonopleura guttata","Diamond Firetail",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"dickci","Spiza americana","Dickcissel",FALSE,"3",2022-06-14,2022-08-02,"3",2022-12-27,2022-03-15,"3",2022-08-09,2022-12-20,"3",2022-03-22,2022-06-07,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-14","08-02",0.875680383080981,0.331522452670575
"dobfin1","Stizoptera bichenovii","Double-barred Finch",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"dobplo1","Anarhynchus bicinctus","Double-banded Plover",FALSE,"2",2022-10-04,2022-12-27,"3",2022-04-12,2022-07-19,"3",2022-01-04,2022-04-05,"3",2022-07-26,2022-09-27,NA,NA,NA,TRUE,"breeding","aus_nz",2014,2022,"10-04","12-27",0.617567214245786,0.713672025041618
"doccor","Nannopterum auritum","Double-crested Cormorant",FALSE,"3",2022-05-31,2022-07-12,"3",2022-12-13,2022-02-08,"3",2022-07-19,2022-12-06,"3",2022-02-15,2022-05-24,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"05-31","07-12",0.589297004542738,0.70185593516154
"dowwoo","Dryobates pubescens","Downy Woodpecker",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,TRUE,"resident","north_america",2012,2022,"01-25","05-10",0.912950663561247,0.052196806350783
"ducfly","Myiarchus tuberculifer","Dusky-capped Flycatcher",FALSE,"3",2022-04-26,2022-07-26,"3",2022-11-01,2022-03-08,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"04-26","07-26",0.834863880627478,0.00878075231767095
"dunlin","Calidris alpina","Dunlin",FALSE,"2",2022-06-14,2022-07-05,"3",2022-12-13,2022-02-15,"2",2022-07-12,2022-12-06,"2",2022-02-22,2022-06-07,NA,NA,NA,TRUE,"nonbreeding","north_america",2011,2021,"12-13","02-15",0.646073906176097,0.731527890091214
"dusfly","Empidonax oberholseri","Dusky Flycatcher",FALSE,"3",2022-06-21,2022-07-19,"2",2022-01-11,2022-03-08,"3",2022-07-26,2022-10-25,"3",2022-03-22,2022-06-14,NA,NA,NA,TRUE,"breeding","north_america",2012,2022,"06-21","07-19",0.859626746477005,0.166986790072308
"dusgro","Dendragapus obscurus","Dusky Grouse",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-03-22,2022-10-25,TRUE,"resident","north_america",2012,2022,"03-15","08-02",0.670820210301252,0.397131264575017
"dusrob1","Melanodryas vittata","Dusky Robin",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",2022-01-04,2022-12-27,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"duswoo1","Artamus cyanopterus","Dusky Woodswallow",FALSE,"2",2022-09-20,2022-03-22,"2",2022-05-31,2022-08-09,"0",NA,NA,"0",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
"eardov1","Zenaida auriculata","Eared Dove",FALSE,"3",2022-10-18,2022-03-01,"3",2022-05-03,2022-08-23,"0",NA,NA,"0",NA,NA,NA,NA,NA,TRUE,"breeding","south_america",2014,2021,"10-18","03-01",0.699558150083846,0.109252883613429
"eargre","Podiceps nigricollis","Eared Grebe",FALSE,"3",2022-05-31,2022-08-02,"2",2022-12-27,2022-03-01,"2",2022-08-09,2022-12-20,"2",2022-03-08,2022-05-24,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
